City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mersa matruh,31.3525,27.2453,17.1,83,1,3.22,EG,1712877097
1,nyurba,63.2842,118.3319,-20.94,96,44,2.02,RU,1712876884
2,paita,-5.0892,-81.1144,23.58,77,68,5.8,PE,1712877104
3,achacachi,-16.05,-68.6833,8.32,84,64,3.07,BO,1712877076
4,marica,-22.9194,-42.8186,25.97,91,87,1.12,BR,1712877111
5,saint-pierre,-21.3393,55.4781,25.82,73,0,2.57,RE,1712877114
6,olonkinbyen,70.9221,-8.7187,-8.39,89,100,7.21,SJ,1712877117
7,waitangi,-43.9535,-176.5597,17.68,92,100,4.92,NZ,1712876834
8,fortuna,40.5982,-124.1573,14.96,78,75,5.66,US,1712876760
9,champerico,14.3,-91.9167,30.28,66,68,3.44,GT,1712877128
10,isafjordur,66.0755,-23.124,-2.87,94,100,13.49,IS,1712877131
11,port lincoln,-34.7333,135.8667,14.93,61,100,3.67,AU,1712876765
12,ilulissat,69.2167,-51.1,-5.99,86,100,1.54,GL,1712877138
13,puerto natales,-51.7236,-72.4875,3.3,91,36,2.44,CL,1712877141
14,blackmans bay,-43.0167,147.3167,13.62,79,81,3.41,AU,1712877145
15,vadso,70.0744,29.7487,1.09,75,100,9.26,NO,1712877148
16,sitka,57.0531,-135.33,6.94,57,40,7.2,US,1712877151
17,enewetak,11.3474,162.3373,26.94,79,95,9.6,MH,1712877154
18,arroyo,41.6096,-4.7969,15.62,71,0,2.57,ES,1712877158
19,viana do castelo,41.6932,-8.8329,17.39,78,100,2.41,PT,1712877070
20,san patricio,28.017,-97.5169,30.05,23,0,5.36,US,1712876661
21,ushuaia,-54.8,-68.3,1.98,94,93,2.41,AR,1712877123
22,albany,42.6001,-73.9662,14.94,81,100,2.24,US,1712876988
23,nemuro,43.3236,145.575,4.89,95,100,7.13,JP,1712876635
24,haiku-pauwela,20.9219,-156.3051,28.01,71,20,5.14,US,1712877177
25,adamstown,-25.066,-130.1015,21.06,54,4,5.59,PN,1712877182
26,colinas,-6.0258,-44.2492,23.73,96,66,1.01,BR,1712877185
27,grytviken,-54.2811,-36.5092,-1.59,69,12,4.33,GS,1712877188
28,melekeok village,7.4957,134.6367,29.31,74,75,4.12,PW,1712877191
29,edinburgh of the seven seas,-37.0676,-12.3116,18.44,94,65,7.01,SH,1712877195
30,talara,-4.5772,-81.2719,27.42,65,0,5.66,PE,1712877078
31,surskoye,54.4821,46.7214,10.77,87,100,1.62,RU,1712877201
32,sabang,5.8933,95.3214,29.72,72,98,7.27,ID,1712877205
33,carnarvon,-24.8667,113.6333,21.27,65,72,8.99,AU,1712877074
34,hamilton,39.1834,-84.5333,15.49,89,100,11.62,US,1712877070
35,luderitz,-26.6481,15.1594,21.96,46,0,2.09,NA,1712876443
36,choyr,46.3611,108.3611,5.53,55,17,0.89,MN,1712877218
37,recani,31.2846,-4.2688,20.97,25,5,9.16,MA,1712877221
38,invercargill,-46.4,168.35,10.57,79,99,2.68,NZ,1712877018
39,dawei,14.0833,98.2,25.75,84,90,1.49,MM,1712877227
40,bayanhongor,46.7167,100.1167,-1.87,56,98,1.25,MN,1712877230
41,whitehorse,60.7161,-135.0538,6.84,33,15,5.81,CA,1712877234
42,lata,40.1629,-8.3327,16.71,83,97,1.36,PT,1712876661
43,longyearbyen,78.2186,15.6401,-16.09,66,0,4.12,SJ,1712877240
44,tiksi,71.6872,128.8694,-25.68,94,23,5.43,RU,1712877243
45,chonchi,-42.6128,-73.8092,11.56,78,0,0.56,CL,1712877247
46,petropavlovka,50.6114,105.3196,4.72,85,82,0.85,RU,1712877250
47,afaahiti,-17.75,-149.2833,29.93,87,89,7.39,PF,1712877253
48,stanley,54.868,-1.6985,13.21,90,20,6.69,GB,1712877256
49,bredasdorp,-34.5322,20.0403,13.52,72,4,3.79,ZA,1712877260
50,gaigeturi,33.4644,126.3183,16.48,73,95,2.57,KR,1712877263
51,avon lake,41.5053,-82.0282,17.51,93,100,5.14,US,1712877251
52,zouerate,22.7187,-12.4521,30.28,8,0,5.87,MR,1712877270
53,thinadhoo,0.5333,72.9333,28.68,71,95,0.83,MV,1712877273
54,manado,1.487,124.8455,25.43,94,20,0.51,ID,1712877276
55,bankeryd,57.85,14.1167,9.67,87,75,8.23,SE,1712877279
56,abu zabad,12.35,29.25,26.17,11,5,5.82,SD,1712877283
57,nova sintra,14.8667,-24.7167,22.66,76,2,7.38,CV,1712877286
58,koson,39.0375,65.585,19.18,52,100,0.9,UZ,1712877289
59,margaret river,-33.95,115.0667,11.65,88,5,5.37,AU,1712877278
60,utrik,11.2278,169.8474,26.69,74,97,9.25,MH,1712877290
61,gajendragarh,15.7333,75.9833,26.5,56,51,4.12,IN,1712877299
62,lebu,-37.6167,-73.65,11.6,89,1,2.37,CL,1712877303
63,whakatane,-37.9585,176.9854,20.43,97,100,4.47,NZ,1712877015
64,flin flon,54.7682,-101.865,2.97,64,100,3.69,CA,1712877309
65,christchurch,-43.5333,172.6333,11.97,93,75,8.75,NZ,1712877214
66,port alfred,-33.5906,26.891,15.1,82,24,2.68,ZA,1712877316
67,miguel ahumada,30.6167,-106.5167,28.0,6,2,8.15,MX,1712877319
68,kaa-khem,51.6833,94.7333,1.89,91,93,1.05,RU,1712876521
69,shimoda,34.6667,138.95,12.84,80,86,6.93,JP,1712877326
70,serdar,38.9764,56.2757,15.0,84,100,3.79,TM,1712877329
71,pyhajarvi,67.0701,27.2176,-3.84,96,20,1.76,FI,1712877332
72,camalu,30.85,-116.0667,18.3,65,3,4.05,MX,1712877336
73,sinabang,2.4803,96.3801,26.52,84,100,1.4,ID,1712877339
74,sanctuary point,-35.1114,150.629,18.88,68,86,0.54,AU,1712877342
75,port-aux-francais,-49.35,70.2167,6.0,85,100,2.46,TF,1712877346
76,geraldton,-28.7667,114.6,19.23,72,40,3.6,AU,1712877349
77,constantia,44.1833,28.65,16.5,59,26,3.09,RO,1712877245
78,tejen,37.3834,60.5054,17.48,56,81,8.61,TM,1712877355
79,tura,25.5198,90.2201,23.28,40,80,1.5,IN,1712877199
80,kotlas,61.2611,46.6556,6.7,72,95,5.81,RU,1712877362
81,st. john's,47.5649,-52.7093,2.6,80,1,2.68,CA,1712877248
82,kavaratti,10.5669,72.642,29.0,67,1,1.29,IN,1712877369
83,hirara,24.8,125.2833,23.22,85,89,4.09,JP,1712877372
84,sisimiut,66.9395,-53.6735,-5.27,90,96,1.36,GL,1712877375
85,san matias,-16.3667,-58.4,25.09,94,100,1.56,BO,1712877378
86,okhotsk,59.3833,143.3,-3.1,91,85,1.99,RU,1712877171
87,bethel,41.3712,-73.414,15.68,89,100,2.57,US,1712877278
88,bilibino,68.0546,166.4372,-12.0,81,100,1.41,RU,1712877286
89,yellowknife,62.456,-114.3525,2.01,83,79,6.02,CA,1712877392
90,shizunai-furukawacho,42.3339,142.3669,7.28,82,100,4.28,JP,1712877395
91,rongelap,11.1635,166.8941,26.91,79,100,8.8,MH,1712877398
92,ribeira grande,38.5167,-28.7,15.99,94,97,2.68,PT,1712877402
93,mazamari,-11.3258,-74.5308,25.13,85,84,0.35,PE,1712877405
94,port saint john's,-31.6229,29.5448,15.18,65,8,5.81,ZA,1712877408
95,port elizabeth,-33.918,25.5701,15.05,81,7,1.79,ZA,1712877118
96,ust-nera,64.5667,143.2,-7.09,92,89,2.39,RU,1712877404
97,brookings,44.3114,-96.7984,12.19,53,75,10.29,US,1712877205
98,esmeraldas,-19.7625,-44.3139,25.48,89,24,2.33,BR,1712877421
99,avarua,-21.2078,-159.775,27.03,94,75,5.66,CK,1712877411
